IP,MAC,First Seen,Last Seen,Activity
192.168.0.1,2c:ab:a4:1f:15:ad,2024-07-05 17:55:24.378842,2024-07-06 04:27:45.542800,224.0.0.1: 7
192.168.0.17,98:de:d0:6c:42:c0,2024-07-05 17:55:24.378874,2024-07-06 04:27:45.542819,
192.168.0.14,56:d8:8f:61:a5:67,2024-07-05 17:55:24.378881,2024-07-06 04:27:45.542828,
192.168.0.16,20:32:33:c6:f4:5f,2024-07-05 17:55:24.378888,2024-07-05 18:10:20.109115,
192.168.0.12,20:34:fb:a9:cd:59,2024-07-05 17:55:24.378895,2024-07-06 04:27:41.047256,
192.168.0.10,66:96:f1:49:00:85,2024-07-05 23:22:11.083663,2024-07-06 04:27:45.542823,
192.168.0.11,cc:9f:7a:b6:c9:93,2024-07-05 23:22:11.083668,2024-07-06 04:27:41.047248,
192.168.0.13,50:5b:c2:0e:fa:be,2024-07-05 23:22:15.619560,2024-07-06 04:27:45.542825,
