IP,MAC,First Seen,Last Seen,Total Traffic (bytes),Top DNS Queries
192.168.0.1,2c:ab:a4:1f:15:ad,2024-07-05 17:57:15.822615,2024-07-06 04:27:40.263260,300,
192.168.0.17,98:de:d0:6c:42:c0,2024-07-05 17:57:15.822640,2024-07-06 04:27:40.263289,0,
192.168.0.14,56:d8:8f:61:a5:67,2024-07-05 17:57:15.822644,2024-07-06 04:27:40.263299,0,
192.168.0.16,20:32:33:c6:f4:5f,2024-07-05 17:57:15.822648,2024-07-05 18:10:20.114936,0,
192.168.0.12,20:34:fb:a9:cd:59,2024-07-05 17:57:24.786655,2024-07-06 04:27:40.263312,0,
192.168.0.10,66:96:f1:49:00:85,2024-07-05 23:22:11.047599,2024-07-06 04:27:40.263295,0,
192.168.0.11,cc:9f:7a:b6:c9:93,2024-07-05 23:22:11.047606,2024-07-06 04:27:40.263303,0,
192.168.0.13,50:5b:c2:0e:fa:be,2024-07-05 23:22:11.047612,2024-07-06 04:27:40.263307,0,
