IP,MAC,First Seen,Last Seen,Activity
192.168.0.1,2c:ab:a4:1f:15:ad,2024-07-05 16:19:56.044942,2024-07-05 17:54:42.382691,224.0.0.1: 9; 192.168.0.20: 1
192.168.0.17,98:de:d0:6c:42:c0,2024-07-05 16:19:56.044972,2024-07-05 17:54:42.382714,
192.168.0.12,20:34:fb:a9:cd:59,2024-07-05 16:20:00.708876,2024-07-05 17:54:42.382722,224.0.0.251: 111; 192.168.0.255: 6
192.168.0.15,fa:54:17:ed:8f:4f,2024-07-05 16:20:34.641127,2024-07-05 16:38:20.249167,
192.168.0.14,56:d8:8f:61:a5:67,2024-07-05 17:54:15.582644,2024-07-05 17:54:42.382717,
192.168.0.16,20:32:33:c6:f4:5f,2024-07-05 17:54:15.582650,2024-07-05 17:54:42.382719,
