IP,MAC,First Seen,Last Seen,Total Traffic (bytes),Top DNS Queries
172.16.1.0,8c:94:1f:51:4b:56,2024-07-17 13:40:18.296749,2024-07-17 14:00:51.960300,0,
172.16.1.1,8c:94:1f:51:4b:56,2024-07-17 13:40:18.296782,2024-07-17 13:59:03.440266,0,
172.16.1.2,8c:94:1f:51:4b:56,2024-07-17 13:40:18.296790,2024-07-17 13:52:58.324353,0,
172.16.1.3,8c:94:1f:51:4b:56,2024-07-17 13:40:18.296797,2024-07-17 14:01:00.864055,0,
172.16.1.4,8c:94:1f:51:4b:56,2024-07-17 13:40:18.296805,2024-07-17 13:51:23.812369,0,
172.16.1.174,8c:94:1f:51:4b:56,2024-07-17 13:40:18.296812,2024-07-17 13:42:36.352512,0,
172.16.1.220,8c:94:1f:51:4b:56,2024-07-17 13:40:22.564408,2024-07-17 13:45:05.960537,0,
172.16.1.94,8c:94:1f:51:4b:56,2024-07-17 13:40:26.852323,2024-07-17 13:57:57.048117,0,
172.16.1.248,8c:94:1f:51:4b:56,2024-07-17 13:40:26.852328,2024-07-17 13:40:26.852330,0,
172.16.1.173,8c:94:1f:51:4b:56,2024-07-17 13:40:31.172769,2024-07-17 13:40:31.172770,0,
172.16.1.235,8c:94:1f:51:4b:56,2024-07-17 13:40:35.428302,2024-07-17 13:46:10.424653,0,
172.16.1.226,8c:94:1f:51:4b:56,2024-07-17 13:40:39.688501,2024-07-17 13:45:27.632242,0,
172.16.1.205,8c:94:1f:51:4b:56,2024-07-17 13:40:44.008387,2024-07-17 13:46:01.884442,0,
172.16.1.194,8c:94:1f:51:4b:56,2024-07-17 13:40:48.308622,2024-07-17 13:59:38.532123,0,
172.16.1.189,8c:94:1f:51:4b:56,2024-07-17 13:40:52.628353,2024-07-17 13:40:52.628355,0,
172.16.1.203,8c:94:1f:51:4b:56,2024-07-17 13:40:56.904441,2024-07-17 13:54:33.344361,0,
172.16.1.150,8c:94:1f:51:4b:56,2024-07-17 13:41:01.304659,2024-07-17 13:59:25.236214,0,
172.16.1.218,8c:94:1f:51:4b:56,2024-07-17 13:41:05.588632,2024-07-17 13:48:28.232492,0,
172.16.1.217,8c:94:1f:51:4b:56,2024-07-17 13:41:09.856657,2024-07-17 13:48:19.536510,0,
172.16.1.186,8c:94:1f:51:4b:56,2024-07-17 13:41:14.128631,2024-07-17 13:41:14.128634,0,
172.16.1.155,8c:94:1f:51:4b:56,2024-07-17 13:41:18.496426,2024-07-17 13:41:18.496427,0,
172.16.1.197,8c:94:1f:51:4b:56,2024-07-17 13:41:22.792649,2024-07-17 13:41:22.792653,0,
172.16.1.144,8c:94:1f:51:4b:56,2024-07-17 13:41:31.400399,2024-07-17 13:42:40.624252,0,
172.16.1.46,8c:94:1f:51:4b:56,2024-07-17 13:41:36.172321,2024-07-17 13:41:36.172322,0,
172.16.1.107,8c:94:1f:51:4b:56,2024-07-17 13:41:36.172327,2024-07-17 13:41:36.172328,0,
172.16.1.239,8c:94:1f:51:4b:56,2024-07-17 13:41:36.172331,2024-07-17 13:57:48.140136,0,
172.16.1.237,8c:94:1f:51:4b:56,2024-07-17 13:41:40.432251,2024-07-17 13:43:53.296329,0,
172.16.1.223,8c:94:1f:51:4b:56,2024-07-17 13:41:48.988576,2024-07-17 13:43:57.568415,0,
172.16.1.73,8c:94:1f:51:4b:56,2024-07-17 13:41:53.472344,2024-07-17 13:51:36.720273,0,
172.16.1.198,8c:94:1f:51:4b:56,2024-07-17 13:41:53.472349,2024-07-17 13:44:53.144633,0,
172.16.1.193,8c:94:1f:51:4b:56,2024-07-17 13:42:02.016260,2024-07-17 13:42:02.016261,0,
172.16.1.221,8c:94:1f:51:4b:56,2024-07-17 13:42:06.268604,2024-07-17 13:46:14.676334,0,
172.16.1.234,8c:94:1f:51:4b:56,2024-07-17 13:42:10.528353,2024-07-17 13:56:47.604158,0,
172.16.1.240,8c:94:1f:51:4b:56,2024-07-17 13:42:14.764629,2024-07-17 13:51:15.148386,0,
172.16.1.216,8c:94:1f:51:4b:56,2024-07-17 13:42:19.040585,2024-07-17 13:53:06.928326,0,
172.16.1.177,8c:94:1f:51:4b:56,2024-07-17 13:42:23.284594,2024-07-17 13:53:28.448375,0,
172.16.1.176,8c:94:1f:51:4b:56,2024-07-17 13:42:27.564326,2024-07-17 13:42:27.564327,0,
172.16.1.66,8c:94:1f:51:4b:56,2024-07-17 13:42:36.352505,2024-07-17 14:00:17.344291,0,
172.16.1.121,8c:94:1f:51:4b:56,2024-07-17 13:42:44.940361,2024-07-17 13:47:19.180622,0,
172.16.1.199,8c:94:1f:51:4b:56,2024-07-17 13:42:49.188366,2024-07-17 13:46:06.172487,0,
172.16.1.113,8c:94:1f:51:4b:56,2024-07-17 13:42:53.418917,2024-07-17 13:42:53.418918,0,
172.16.1.201,8c:94:1f:51:4b:56,2024-07-17 13:42:53.418924,2024-07-17 13:42:53.418926,0,
172.16.1.119,8c:94:1f:51:4b:56,2024-07-17 13:42:57.768298,2024-07-17 13:54:59.208118,0,
172.16.1.147,8c:94:1f:51:4b:56,2024-07-17 13:43:02.064302,2024-07-17 13:47:45.116365,0,
172.16.1.120,8c:94:1f:51:4b:56,2024-07-17 13:43:06.313185,2024-07-17 13:43:06.313186,0,
172.16.1.196,8c:94:1f:51:4b:56,2024-07-17 13:43:10.560606,2024-07-17 13:43:10.560609,0,
172.16.1.168,8c:94:1f:51:4b:56,2024-07-17 13:43:14.796237,2024-07-17 13:43:14.796239,0,
172.16.1.166,8c:94:1f:51:4b:56,2024-07-17 13:43:19.044236,2024-07-17 13:55:33.640154,0,
172.16.1.229,8c:94:1f:51:4b:56,2024-07-17 13:43:23.324580,2024-07-17 13:50:53.164215,0,
172.16.1.232,8c:94:1f:51:4b:56,2024-07-17 13:43:27.588591,2024-07-17 13:43:27.588593,0,
172.16.1.252,8c:94:1f:51:4b:56,2024-07-17 13:43:31.844354,2024-07-17 13:46:27.684295,0,
172.16.1.213,8c:94:1f:51:4b:56,2024-07-17 13:43:36.116435,2024-07-17 13:44:10.428526,0,
172.16.1.204,8c:94:1f:51:4b:56,2024-07-17 13:43:44.688332,2024-07-17 13:57:43.828305,0,
172.16.1.49,8c:94:1f:51:4b:56,2024-07-17 13:43:49.044580,2024-07-17 13:43:49.044582,0,
172.16.1.175,8c:94:1f:51:4b:56,2024-07-17 13:44:06.152605,2024-07-17 13:44:06.152606,0,
172.16.1.163,8c:94:1f:51:4b:56,2024-07-17 13:44:18.936738,2024-07-17 13:58:50.400392,0,
172.16.1.192,8c:94:1f:51:4b:56,2024-07-17 13:44:27.492622,2024-07-17 13:59:12.177004,0,
172.16.1.243,8c:94:1f:51:4b:56,2024-07-17 13:44:31.752631,2024-07-17 14:01:05.228243,0,
172.16.1.195,8c:94:1f:51:4b:56,2024-07-17 13:44:36.044355,2024-07-17 13:59:16.520156,0,
172.16.1.214,8c:94:1f:51:4b:56,2024-07-17 13:45:10.232593,2024-07-17 13:45:10.232595,0,
172.16.1.104,8c:94:1f:51:4b:56,2024-07-17 13:45:14.832576,2024-07-17 14:00:39.040481,0,
172.16.1.207,8c:94:1f:51:4b:56,2024-07-17 13:45:14.832586,2024-07-17 13:48:02.324606,0,
