IP,MAC,First Seen,Last Seen,Total Traffic (bytes),Top DNS Queries
172.16.2.0,8c:94:1f:51:4b:56,2024-07-17 13:38:56.756348,2024-07-17 14:01:09.112202,0,
172.16.2.1,8c:94:1f:51:4b:56,2024-07-17 13:38:56.756372,2024-07-17 14:01:09.112219,0,
172.16.2.2,8c:94:1f:51:4b:56,2024-07-17 13:38:56.756378,2024-07-17 14:01:09.112222,0,
172.16.2.3,8c:94:1f:51:4b:56,2024-07-17 13:38:56.756384,2024-07-17 14:01:09.112225,0,
172.16.2.4,8c:94:1f:51:4b:56,2024-07-17 13:38:56.756390,2024-07-17 14:01:09.112227,0,
172.16.2.187,8c:94:1f:51:4b:56,2024-07-17 13:38:56.756395,2024-07-17 13:54:28.472379,0,
172.16.2.148,8c:94:1f:51:4b:56,2024-07-17 13:39:01.104515,2024-07-17 13:39:01.104517,0,
172.16.2.210,8c:94:1f:51:4b:56,2024-07-17 13:39:05.388334,2024-07-17 13:51:04.760655,0,
172.16.2.205,8c:94:1f:51:4b:56,2024-07-17 13:39:09.668382,2024-07-17 13:46:13.044279,0,
172.16.2.196,8c:94:1f:51:4b:56,2024-07-17 13:39:13.972294,2024-07-17 13:57:30.372648,0,
172.16.2.218,8c:94:1f:51:4b:56,2024-07-17 13:39:18.236349,2024-07-17 13:44:42.260449,0,
172.16.2.201,8c:94:1f:51:4b:56,2024-07-17 13:39:22.564333,2024-07-17 13:50:08.080230,0,
172.16.2.153,8c:94:1f:51:4b:56,2024-07-17 13:39:26.908438,2024-07-17 13:46:08.736621,0,
172.16.2.113,8c:94:1f:51:4b:56,2024-07-17 13:39:31.184411,2024-07-17 13:39:31.184413,0,
172.16.2.209,8c:94:1f:51:4b:56,2024-07-17 13:39:35.472643,2024-07-17 13:39:35.472646,0,
172.16.2.143,8c:94:1f:51:4b:56,2024-07-17 13:39:39.772499,2024-07-17 14:00:55.948248,0,
172.16.2.224,8c:94:1f:51:4b:56,2024-07-17 13:39:44.056334,2024-07-17 13:48:35.928526,0,
172.16.2.174,8c:94:1f:51:4b:56,2024-07-17 13:39:52.636693,2024-07-17 13:56:24.980294,0,
172.16.2.185,8c:94:1f:51:4b:56,2024-07-17 13:39:56.932194,2024-07-17 13:39:56.932195,0,
172.16.2.188,8c:94:1f:51:4b:56,2024-07-17 13:40:01.236455,2024-07-17 13:47:56.888415,0,
172.16.2.235,8c:94:1f:51:4b:56,2024-07-17 13:40:05.532521,2024-07-17 13:40:05.532524,0,
172.16.2.181,8c:94:1f:51:4b:56,2024-07-17 13:40:09.832623,2024-07-17 13:58:58.632636,0,
172.16.2.173,8c:94:1f:51:4b:56,2024-07-17 13:40:18.520090,2024-07-17 13:59:55.488567,0,
172.16.2.243,8c:94:1f:51:4b:56,2024-07-17 13:40:22.804224,2024-07-17 13:40:22.804243,0,
172.16.2.100,8c:94:1f:51:4b:56,2024-07-17 13:40:27.324376,2024-07-17 13:40:27.324439,0,
172.16.2.194,8c:94:1f:51:4b:56,2024-07-17 13:40:27.324449,2024-07-17 13:45:51.104484,0,
172.16.2.176,8c:94:1f:51:4b:56,2024-07-17 13:40:31.660217,2024-07-17 13:40:31.660220,0,
172.16.2.200,8c:94:1f:51:4b:56,2024-07-17 13:40:35.956414,2024-07-17 13:46:30.220446,0,
172.16.2.131,8c:94:1f:51:4b:56,2024-07-17 13:40:44.536291,2024-07-17 13:42:50.232313,0,
172.16.2.111,8c:94:1f:51:4b:56,2024-07-17 13:40:57.520178,2024-07-17 13:40:57.520180,0,
172.16.2.81,8c:94:1f:51:4b:56,2024-07-17 13:41:01.836387,2024-07-17 13:41:01.836390,0,
172.16.2.160,8c:94:1f:51:4b:56,2024-07-17 13:41:06.168376,2024-07-17 13:51:26.352544,0,
