IP,MAC,First Seen,Last Seen,Total Traffic (bytes),Top DNS Queries
192.168.1.0,8c:94:1f:51:4b:56,2024-07-17 11:36:35.144413,2024-07-17 11:36:35.144436,0,
192.168.1.1,8c:94:1f:51:4b:56,2024-07-17 11:36:35.144444,2024-07-17 11:36:35.144447,0,
192.168.1.2,8c:94:1f:51:4b:56,2024-07-17 11:36:35.144451,2024-07-17 11:36:35.144454,0,
192.168.1.3,8c:94:1f:51:4b:56,2024-07-17 11:36:35.144458,2024-07-17 11:36:35.144460,0,
192.168.1.4,8c:94:1f:51:4b:56,2024-07-17 11:36:35.144464,2024-07-17 11:36:35.144467,0,
192.168.1.205,8c:94:1f:51:4b:56,2024-07-17 11:36:35.144471,2024-07-17 11:36:35.144473,0,
