IP,MAC,First Seen,Last Seen,Total Traffic (bytes),Top DNS Queries
192.168.1.0,8c:94:1f:51:4b:56,2024-07-17 13:31:46.240307,2024-07-17 13:31:46.240327,0,
192.168.1.1,8c:94:1f:51:4b:56,2024-07-17 13:31:46.240332,2024-07-17 13:31:46.240333,0,
192.168.1.2,8c:94:1f:51:4b:56,2024-07-17 13:31:46.240336,2024-07-17 13:31:46.240337,0,
192.168.1.3,8c:94:1f:51:4b:56,2024-07-17 13:31:46.240340,2024-07-17 13:31:46.240341,0,
192.168.1.4,8c:94:1f:51:4b:56,2024-07-17 13:31:46.240343,2024-07-17 13:31:46.240345,0,
192.168.1.160,8c:94:1f:51:4b:56,2024-07-17 13:31:46.240347,2024-07-17 13:31:46.240349,0,
