MAC,IP,First Seen,Last Seen
f4:b7:e2:2b:16:10,15.15.21.4,2024-07-17 15:31:17.292478,2024-07-17 15:48:50.304220
2e:f3:c2:34:e8:12,15.15.21.3,2024-07-17 15:31:17.292510,2024-07-17 15:48:50.304200
