IP,MAC
172.16.3.154,44:8a:5b:e0:e1:b4
172.16.3.160,e4:a8:df:c3:56:49
172.16.3.158,38:22:e2:2e:40:d6
172.16.3.166,90:9a:4a:dd:3f:82
172.16.3.151,e0:db:55:d3:e4:a0
172.16.3.169,e4:a8:df:c3:ca:c7
172.16.3.171,e4:a8:df:c3:cc:f1
172.16.3.177,c8:5a:cf:bd:20:25
172.16.3.180,98:e7:f4:04:a3:21
172.16.3.181,18:60:24:90:9c:ca
172.16.3.185,c8:5a:cf:bd:20:36
172.16.3.187,f4:39:09:d8:13:97
172.16.3.189,f8:59:71:eb:7a:fd
172.16.3.190,00:c0:ee:a9:e9:27
172.16.3.193,c8:5a:cf:bd:1f:bc
172.16.3.195,00:17:c8:df:53:72
172.16.3.196,38:22:e2:2e:3f:8d
172.16.3.201,44:8a:5b:e3:0e:79
172.16.3.198,00:17:c8:07:a7:eb
172.16.3.202,e4:a8:df:c3:56:52
172.16.3.204,74:26:ac:ef:84:d9
172.16.3.208,f0:7f:06:f0:7e:b9
172.16.3.207,c8:5a:cf:bd:1f:f9
172.16.3.210,f0:9e:63:0f:05:55
172.16.3.212,c8:5a:cf:bd:1f:a3
172.16.3.226,e4:a8:df:c3:cd:c0
172.16.3.225,38:ea:a7:69:8c:53
172.16.3.230,e4:a8:df:c3:ce:7c
172.16.3.234,c8:5a:cf:bd:20:10
172.16.3.236,e4:a8:df:c3:51:1b
172.16.3.238,00:17:c8:c8:1d:ab
172.16.3.235,40:b0:34:4b:5d:da
172.16.3.247,c8:5a:cf:bd:1f:9b
172.16.3.250,c8:9c:dc:e3:f0:7c
