Address                  HWtype  HWaddress           Flags Mask            Iface
15.15.21.240             ether   b0:3c:dc:c7:e6:97   C                     wlp2s0
172.16.3.53              ether   18:60:24:90:9c:ee   C                     enp1s0
172.16.3.57              ether   00:22:bd:fc:ac:e9   C                     enp1s0
172.16.2.188             ether   c8:5a:cf:bd:1f:fb   C                     enp1s0
172.16.2.187             ether   00:17:c8:51:f1:b0   C                     enp1s0
172.16.2.191             ether   74:26:ac:ef:84:cc   C                     enp1s0
172.16.2.64              ether   80:4a:14:5f:90:e5   C                     enp1s0
172.16.3.193             ether   c8:5a:cf:bd:1f:bc   C                     enp1s0
172.16.2.67              ether   e4:a8:df:c3:56:4a   C                     enp1s0
172.16.3.195             ether   00:17:c8:df:53:72   C                     enp1s0
172.16.3.198             ether   00:17:c8:07:a7:eb   C                     enp1s0
172.16.2.70              ether   f0:7f:06:f0:7e:d2   C                     enp1s0
172.16.2.71              ether   f0:7f:06:f0:7e:d7   C                     enp1s0
172.16.2.76              ether   c8:9c:dc:e5:ee:e0   C                     enp1s0
172.16.2.75              ether   00:17:c8:4b:b3:92   C                     enp1s0
172.16.2.78              ether   f0:7f:06:f0:7e:d0   C                     enp1s0
172.16.3.208             ether   f0:7f:06:f0:7e:b9   C                     enp1s0
172.16.3.210             ether   f0:9e:63:0f:05:55   C                     enp1s0
172.16.3.212             ether   c8:5a:cf:bd:1f:a3   C                     enp1s0
172.16.3.214             ether   c8:5a:cf:bd:20:03   C                     enp1s0
172.16.2.92              ether   f8:7b:20:89:26:f0   C                     enp1s0
172.16.2.91              ether   e4:a8:df:c3:ca:d2   C                     enp1s0
172.16.2.93              ether   18:60:24:8d:32:c3   C                     enp1s0
172.16.2.95              ether   b0:5c:da:36:7d:df   C                     enp1s0
172.16.2.97              ether   f0:7f:06:f0:7f:8c   C                     enp1s0
172.16.3.225             ether   38:ea:a7:69:8c:53   C                     enp1s0
172.16.2.99              ether   c8:5a:cf:bd:1f:f6   C                     enp1s0
jamal-hp.rea.local       ether   c8:5a:cf:bd:1f:ec   C                     enp1s0
172.16.2.101             ether   00:17:c8:c8:1c:f3   C                     enp1s0
172.16.3.238             ether   00:17:c8:c8:1d:ab   C                     enp1s0
172.16.2.109             ether   00:17:c8:bf:bf:a2   C                     enp1s0

